match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win
2023-12-16,Premier League,4193691,AFC Bournemouth,Luton Town,0.5689762083482915,0.26245879703665026,0.16856499461505825
2024-04-20,Premier League,4193866,Luton Town,Brentford,0.45294567712318284,0.14307574598316755,0.4039785768936496
2024-04-20,Premier League,4193868,Sheffield United,Burnley,0.3455734406438632,0.20271629778672032,0.4517102615694165
2024-04-20,Premier League,4193870,Wolverhampton Wanderers,Arsenal,0.23445479122859716,0.0829077801141484,0.6826374286572544
2024-04-21,Premier League,4193864,Everton,Nottingham Forest,0.5064377682403434,0.12124463519313304,0.3723175965665236
2024-04-21,Premier League,4193861,Aston Villa,AFC Bournemouth,0.7347775175644028,0.09894613583138173,0.16627634660421545
2024-04-21,Premier League,4193863,Crystal Palace,West Ham United,0.4067547723935389,0.13509544787077826,0.4581497797356828
2024-04-21,Premier League,4193865,Fulham,Liverpool,0.19702909015886116,0.08170002063131834,0.7212708892098205
2024-04-23,Premier League,4193811,Arsenal,Chelsea,0.630306074850192,0.059133804585740427,0.3105601205640676
2024-04-24,Premier League,4193820,Wolverhampton Wanderers,AFC Bournemouth,0.6466987319632707,0.0975076519457805,0.25579361609094886
2023-10-08,Ligue 1,4219326,Montpellier,Clermont Foot,0.4855865395928933,0.41051888457465585,0.10389457583245088
2024-04-19,Ligue 1,4219507,Nice,Lorient,0.6925133689839572,0.19162210338680927,0.11586452762923351
2024-04-20,Ligue 1,4219510,Nantes,Rennes,0.31773399014778325,0.2438423645320197,0.43842364532019706
2024-04-20,Ligue 1,4219509,Lens,Clermont Foot,0.6789587852494577,0.2017353579175705,0.1193058568329718
2024-04-21,Ligue 1,4219511,Le Havre,Metz,0.3626943005181347,0.27461139896373055,0.3626943005181347
2024-04-21,Ligue 1,4219506,Lille,Strasbourg,0.6588628762541806,0.17725752508361203,0.16387959866220736
2024-04-21,Ligue 1,4219508,Reims,Montpellier,0.5103448275862069,0.2206896551724138,0.2689655172413793
2024-04-21,Ligue 1,4219512,Brest,Monaco,0.28600405679513186,0.2616632860040568,0.45233265720081134
2024-04-21,Ligue 1,4219505,Toulouse,Marseille,0.25287356321839083,0.16666666666666666,0.5804597701149425
2024-04-21,Ligue 1,4219504,Paris Saint-Germain,Lyon,0.7763385146804835,0.07124352331606218,0.15241796200345423
2024-04-19,Bundesliga,4222177,Eintracht Frankfurt,FC Augsburg,0.6085697741748697,0.19281991893456862,0.19861030689056167
2024-04-20,Bundesliga,4222182,FC Heidenheim,RB Leipzig,0.1677327647476901,0.15565031982942432,0.6766169154228856
2024-04-20,Bundesliga,4222179,FC Köln,SV Darmstadt,0.6899563318777293,0.17321688500727803,0.13682678311499272
2024-04-20,Bundesliga,4222180,TSG Hoffenheim,Borussia Mönchengladbach,0.4175824175824176,0.20251177394034536,0.37990580847723704
2024-04-20,Bundesliga,4222178,Wolfsburg,VfL Bochum,0.6210350584307178,0.19198664440734559,0.18697829716193656
2024-04-20,Bundesliga,4222175,Union Berlin,Bayern München,0.15151515151515152,0.08234519104084322,0.7661396574440053
2024-04-21,Bundesliga,4222181,Werder Bremen,VfB Stuttgart,0.15302491103202848,0.10794780545670225,0.7390272835112692
2024-04-21,Bundesliga,4222174,Borussia Dortmund,Bayer Leverkusen,0.30133383430396393,0.08510238587262822,0.6135637798234078
2024-04-21,Bundesliga,4222176,SC Freiburg,Mainz 05,0.5278350515463918,0.17525773195876287,0.29690721649484536
2024-04-26,Bundesliga,4222359,VfL Bochum,TSG Hoffenheim,0.2727272727272727,0.07575757575757576,0.6515151515151515
2024-03-17,Serie A,4230823,Atalanta,Fiorentina,0.5939222804894446,0.25063869839989245,0.1554390211106629
2024-04-14,Serie A,4230853,Udinese,Roma,0.13602357742008614,0.19088642031285422,0.6730900022670596
2024-04-19,Serie A,4230856,Genoa,Lazio,0.2173802242609582,0.23470948012232415,0.5479102956167177
2024-04-19,Serie A,4230854,Cagliari,Juventus,0.1269927536231884,0.13478260869565217,0.7382246376811594
2024-04-20,Serie A,4230855,Empoli,SSC Napoli,0.11764705882352941,0.15,0.7323529411764705
2024-04-20,Serie A,4230857,Hellas Verona,Udinese,0.3877159309021113,0.30326295585412666,0.30902111324376197
2024-04-21,Serie A,4230863,Sassuolo,Lecce,0.5578947368421052,0.23157894736842105,0.21052631578947367
2024-04-21,Serie A,4230861,Torino,Frosinone,0.6451612903225806,0.20161290322580644,0.1532258064516129
2024-04-21,Serie A,4230860,Salernitana,Fiorentina,0.16816816816816818,0.15015015015015015,0.6816816816816816
2024-04-21,Serie A,4230858,Monza,Atalanta,0.16,0.15529411764705883,0.6847058823529412
2024-04-19,LaLiga,4205654,Athletic Club,Granada,0.7535816618911175,0.14947468958930277,0.09694364851957975
2024-04-20,LaLiga,4205655,Celta Vigo,Las Palmas,0.55249343832021,0.19816272965879264,0.24934383202099739
2024-04-20,LaLiga,4205662,Rayo Vallecano,Osasuna,0.4185303514376997,0.26198083067092653,0.3194888178913738
2024-04-20,LaLiga,4205659,Valencia,Real Betis,0.48329853862212946,0.21294363256784968,0.3037578288100209
2024-04-20,LaLiga,4205660,Girona,Cadiz,0.7633015006821282,0.1377899045020464,0.09890859481582538
2024-04-21,LaLiga,4205656,Getafe,Real Sociedad,0.22992700729927007,0.20802919708029197,0.5620437956204379
2024-04-21,LaLiga,4205653,Almeria,Villarreal,0.14228456913827656,0.18837675350701402,0.6693386773547094
2024-04-21,LaLiga,4205657,Deportivo Alaves,Atletico Madrid,0.10382059800664452,0.12458471760797342,0.771594684385382
2024-04-21,LaLiga,4205658,Real Madrid,Barcelona,0.5872343782873974,0.03971176099305702,0.37305386071954555
2024-04-22,LaLiga,4205661,Sevilla,Mallorca,0.7217391304347827,0.11739130434782609,0.1608695652173913
