Comp,Day,Venue,GF,GA,Team,Opponent,xGA,Poss,Attendance,Referee,SoT,xG.1,Saves,CS,CPA,CrdY,CrdR,Fls,Off.1,Crs.1,PKwon,PKcon,O_FK,O_CS,O_Cmp.4,O_Ast,O_Dead,O_TB,O_Sw,O_Crs,O_TI,O_CK,O_In,O_Out,O_Str,O_Off,O_CPA,O_CrdY,O_CrdR,O_Fls,FTR,weight
24,2,0,2,1,0,16,1.3,74.0,53407.0,16,12.0,1.4,1.0,0.0,8.0,1.0,0.0,12.0,1.0,21.0,0.0,0.0,0.0,0.0,169.0,1.0,48.0,0.0,0.0,8.0,13.0,5.0,5.0,0.0,0.0,1.0,1.0,1.0,0.0,11.0,1.0,0.13649962602842183
24,4,0,2,1,0,17,0.6,76.0,54203.0,2,8.0,2.3,3.0,0.0,16.0,2.0,0.0,5.0,2.0,28.0,0.0,0.0,0.0,0.0,174.0,1.0,46.0,0.0,2.0,14.0,19.0,4.0,3.0,0.0,0.0,4.0,2.0,2.0,0.0,7.0,0.0,0.13670411985018727
4,2,1,1,2,0,7,1.7,67.0,33154.0,17,1.0,1.7,4.0,0.0,6.0,2.0,0.0,10.0,2.0,16.0,1.0,0.0,1.0,0.0,304.0,2.0,40.0,2.0,1.0,7.0,16.0,2.0,0.0,2.0,0.0,0.0,8.0,1.0,0.0,9.0,2.0,0.13685789276340457
24,4,1,2,1,0,18,1.4,64.0,74847.0,0,7.0,1.7,4.0,0.0,16.0,2.0,0.0,10.0,0.0,10.0,0.0,0.0,1.0,0.0,250.0,0.0,44.0,1.0,0.0,6.0,20.0,2.0,0.0,2.0,0.0,4.0,2.0,4.0,0.0,16.0,0.0,0.13706346226060834
24,2,1,4,0,0,19,0.6,78.0,20870.0,5,10.0,2.7,3.0,1.0,17.0,0.0,0.0,6.0,1.0,16.0,0.0,0.0,0.0,0.0,172.0,0.0,48.0,0.0,1.0,8.0,17.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,12.0,2.0,0.13721804511278196
24,0,0,4,1,0,20,0.2,52.0,54214.0,9,11.0,3.4,1.0,0.0,9.0,2.0,0.0,13.0,4.0,11.0,1.0,0.0,0.0,0.0,351.0,0.0,59.0,1.0,3.0,7.0,26.0,1.0,1.0,0.0,0.0,2.0,2.0,4.0,0.0,20.0,0.0,0.13737297704177642
24,0,0,4,0,0,2,0.4,78.0,54270.0,12,5.0,1.5,1.0,1.0,7.0,0.0,0.0,8.0,4.0,18.0,0.0,0.0,0.0,0.0,175.0,0.0,46.0,0.0,1.0,13.0,14.0,6.0,4.0,2.0,0.0,2.0,2.0,1.0,0.0,7.0,2.0,0.13773584905660377
24,2,1,1,0,0,21,0.2,77.0,52311.0,18,6.0,1.8,1.0,1.0,3.0,0.0,0.0,6.0,4.0,15.0,0.0,0.0,0.0,0.0,157.0,0.0,47.0,1.0,1.0,6.0,19.0,3.0,2.0,0.0,1.0,4.0,2.0,1.0,0.0,11.0,2.0,0.1379440665154951
24,4,1,0,0,0,6,1.3,74.0,25804.0,3,4.0,1.3,0.0,1.0,5.0,4.0,0.0,11.0,2.0,20.0,0.0,1.0,0.0,1.0,137.0,0.0,44.0,1.0,2.0,17.0,13.0,7.0,4.0,1.0,1.0,4.0,3.0,5.0,0.0,14.0,1.0,0.1381529144587434
24,3,0,3,1,0,5,1.0,76.0,53556.0,19,7.0,2.1,3.0,0.0,12.0,1.0,0.0,8.0,1.0,21.0,0.0,0.0,0.0,0.0,200.0,1.0,44.0,2.0,0.0,3.0,21.0,1.0,0.0,1.0,0.0,3.0,4.0,1.0,0.0,12.0,0.0,0.13825757575757577
